8,1744889,1.0
8,1395430,2.0
8,1205593,4.0
8,1488844,4.0
8,1447354,1.0
8,306466,4.0
8,1331154,4.0
8,1818178,3.0
8,991725,4.0
8,1987434,4.0
8,1765381,4.0
8,433803,3.0
8,1148143,2.0
8,1174811,5.0
8,1684516,3.0
8,754781,4.0
8,567025,4.0
8,1623132,4.0
8,1567095,3.0
8,1666394,5.0
8,622194,4.0
8,966375,4.0
8,116582,1.0
8,1646405,5.0
8,174868,2.0
8,327122,4.0
8,135348,2.0
8,944189,4.0
8,1041552,3.0
8,2459251,4.0
8,2327803,4.0
8,440723,2.0
8,1826612,2.0
8,1574266,1.0
8,2105990,4.0
8,1515871,1.0
8,1339724,3.0
8,2161899,3.0
8,46036,2.0
8,885929,2.0
8,180200,4.0
8,603277,1.0
8,2551764,3.0
8,1951144,2.0
8,1977925,4.0
8,2162424,4.0
8,2637831,4.0
8,1620735,2.0
8,1863499,5.0
8,2239227,4.0
8,361407,3.0
8,227469,1.0
8,1854947,2.0
8,2030564,2.0
8,411537,2.0
8,581766,3.0
8,2004175,3.0
8,452192,2.0
8,2002276,1.0
8,2459804,5.0
8,2439795,2.0
8,228190,4.0
8,1265877,4.0
8,61863,4.0
8,2628763,3.0
8,21983,2.0
8,958382,3.0
8,2570542,5.0
8,248932,1.0
8,2605003,2.0
8,459486,4.0
8,1117379,2.0
8,1378970,4.0
8,489962,1.0
8,360830,2.0
8,19106,2.0
8,922922,3.0
8,322178,1.0
8,2059716,4.0
8,419330,5.0
8,1007809,4.0
8,319119,3.0
8,1333,3.0
8,1113647,5.0
8,2530840,5.0
8,793754,1.0
8,675390,1.0
8,1097350,1.0
8,2416619,1.0
8,2125035,3.0
8,2127805,1.0
8,2577867,1.0
8,2541025,1.0
8,1478381,3.0
8,2543231,3.0
8,221091,1.0
8,1874317,4.0
8,212729,4.0
8,880866,2.0
8,324026,3.0
8,1249686,2.0
8,1684328,5.0
8,2397231,4.0
8,2268573,1.0
8,2475820,3.0
8,2286538,3.0
8,69779,1.0
8,513501,3.0
8,1784146,4.0
8,1037313,1.0
8,854454,3.0
8,1616406,4.0
8,1888772,5.0
8,1931966,2.0
8,2622904,2.0
8,1630930,3.0
8,1645535,3.0
8,107840,2.0
8,1188167,4.0
8,1819877,3.0
8,327691,4.0
8,1599243,3.0
8,1292617,2.0
8,933168,2.0
8,612895,3.0
8,557562,1.0
8,1890622,2.0
8,229195,4.0
8,2162245,4.0
8,315484,5.0
8,2514164,3.0
8,1743758,3.0
8,1990523,3.0
8,697010,2.0
8,1979921,1.0
8,1572469,1.0
8,2596383,3.0
8,264856,5.0
8,304879,2.0
8,310799,4.0
8,137982,1.0
8,1586699,5.0
8,2487958,5.0
8,1673185,2.0
8,2387904,3.0
8,1902434,5.0
8,2202206,4.0
8,2355791,2.0
8,1227322,5.0
8,2173758,1.0
8,1888322,1.0
8,1903175,3.0
8,1794933,2.0
8,2537989,1.0
8,916412,1.0
8,968447,2.0
8,1400056,4.0
8,1594764,2.0
8,1737886,3.0
8,2252223,1.0
8,1187565,2.0
8,987066,5.0
8,488900,5.0
8,560944,4.0
8,564748,3.0
8,371300,1.0
8,446309,3.0
8,1135038,2.0
8,2294864,2.0
8,959714,5.0
8,652797,2.0
8,779945,4.0
8,2503676,3.0
8,1527895,3.0
8,367976,3.0
8,838138,2.0
8,423270,3.0
8,2522946,5.0
8,1602952,1.0
8,2407154,3.0
8,1203779,1.0
8,1988873,4.0
8,2289991,4.0
8,43751,4.0
8,347583,2.0
8,96124,3.0
8,2171355,1.0
8,1398918,3.0
8,2056324,4.0
8,2404146,4.0
8,1179117,4.0
8,1466320,3.0
8,2105661,4.0
8,949660,3.0
8,1747154,5.0
8,2203834,4.0
8,2430867,2.0
8,1365840,4.0
8,1484015,3.0
8,2364099,3.0
8,1648695,5.0
8,847615,3.0
8,525356,4.0
8,98044,3.0
8,2371105,2.0
8,1294583,1.0
8,649969,5.0
8,1857952,3.0
8,1915354,4.0
8,2072798,3.0
8,1103813,3.0
8,409592,2.0
8,1002367,3.0
8,1733406,3.0
8,2213715,3.0
8,625699,2.0
8,2284627,2.0
8,2014322,3.0
8,1581163,3.0
8,781778,3.0
